Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Where the Crawdads Sing,2022,PG-13,125 min,"Drama, Mystery, Thriller",Olivia Newman,"Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,David Strathairn",7.1,43,56342
Smile,V 2022,R,115 min,"Horror, Mystery, Thriller",Parker Finn,"Sosie Bacon,Jessie T. Usher,Kyle Gallner,Robin Weigert",6.7,68,61841
The Wonder,I 2022,R,108 min,"Drama, Mystery, Thriller",Sebastián Lelio,"Florence Pugh,Tom Burke,Kíla Lord Cassidy,Niamh Algar",6.7,71,10761
Enola Holmes 2,2022,PG-13,129 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge",6.8,64,48755
Barbarian,2022,R,102 min,"Horror, Mystery, Thriller",Zach Cregger,"Georgina Campbell,Bill Skarsgård,Justin Long,Matthew Patrick Davis",7.1,78,84913
Amsterdam,2022,R,134 min,"Comedy, Drama, History",David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Alessandro Nivola",6.1,48,24016
Glass Onion: A Knives Out Mystery,2022,PG-13,140 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista",8.1,81,2915
Enola Holmes,2020,PG-13,123 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,Sam Claflin,Helena Bonham Carter",6.6,68,186727
See How They Run,2022,PG-13,98 min,"Comedy, Mystery",Tom George,"Kieran Hodgson,Pearl Chanda,Gregory Cox,Harris Dickinson",6.5,60,28482
X,II 2022,R,105 min,"Horror, Mystery, Thriller",Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",6.6,79,87382
Nope,2022,R,130 min,"Horror, Mystery, Sci-Fi",Jordan Peele,"Daniel Kaluuya,Keke Palmer,Brandon Perea,Michael Wincott",6.9,77,160917
Knives Out,2019,PG-13,130 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis",7.9,82,622745
