Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Spirited,2022,PG-13,127 min,"Comedy, Family, Musical",Sean Anders,"Will Ferrell,Ryan Reynolds,Octavia Spencer,Patrick Page",6.6,55,8617
A Christmas Story Christmas,2022,PG,98 min,"Comedy, Family",Clay Kaytis,"Peter Billingsley,Erinn Hayes,River Drosche,Julianna Layne",7,56,3433
A Christmas Story,1983,PG,93 min,"Comedy, Family",Bob Clark,"Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz",7.9,77,149902
Slumberland,2022,PG,117 min,"Adventure, Comedy, Family",Francis Lawrence,"Jason Momoa,Marlow Barkley,Chris O'Dowd,Kyle Chandler",6.7,39,6677
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
Elemental,2023,,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Leah Lewis,Mamoudou Athie",,,
The Bad Guys,2022,PG,100 min,"Animation, Adventure, Comedy",Pierre Perifel,"Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson",6.8,64,38306
Strange World,2022,PG,102 min,"Animation, Action, Adventure",Don Hall,"Qui Nguyen,Jake Gyllenhaal,Jaboukie Young-White,Gabrielle Union,Dennis Quaid",5.8,66,903
Guillermo del Toro's Pinocchio,II 2022,PG,117 min,"Animation, Drama, Family",Guillermo del Toro,"Mark Gustafson,Gregory Mann,Ewan McGregor,Ron Perlman,Finn Wolfhard",8,85,1038
Home Alone,1990,PG,103 min,"Comedy, Family",Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard",7.7,63,566706
Harry Potter and the Sorcerer's Stone,2001,PG,152 min,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith",7.6,65,776597
Christmas with You,2022,TV-PG,89 min,"Comedy, Family, Romance",Gabriela Tagliavini,"Aimee Garcia,Freddie Prinze Jr.,Deja Monique Cruz,Gabriel Sloyer",5.6,32,2225
The Santa Clause,1994,PG,97 min,"Comedy, Drama, Family",John Pasquin,"Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd",6.5,57,117334
Elf,2003,PG,97 min,"Adventure, Comedy, Family",Jon Favreau,"Will Ferrell,James Caan,Bob Newhart,Zooey Deschanel",7,64,267781
Wendell & Wild,2022,PG-13,105 min,"Animation, Adventure, Comedy",Henry Selick,"Lyric Ross,Keegan-Michael Key,Jordan Peele,Angela Bassett",6.5,69,6627
Puss in Boots: The Last Wish,2022,PG,100 min,"Animation, Adventure, Comedy",Joel Crawford,"Januel Mercado,Antonio Banderas,Salma Hayek,Harvey Guillén,Florence Pugh",,,
How the Grinch Stole Christmas,2000,PG,104 min,"Comedy, Family, Fantasy",Ron Howard,"Jim Carrey,Taylor Momsen,Kelley,Jeffrey Tambor",6.2,46,247190
"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",Josh Gordon,"Will Speck,Javier Bardem,Winslow Fegley,Shawn Mendes,Constance Wu",6.2,51,3013
The Little Rascals,1994,PG,82 min,"Comedy, Family, Romance",Penelope Spheeris,"Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Woods",6.3,45,50786
Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",Garth Jennings,"Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Tori Kelly",7.4,49,68328
The Princess Bride,1987,PG,98 min,"Adventure, Family, Fantasy",Rob Reiner,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon",8,77,427741
DC League of Super-Pets,2022,PG,105 min,"Animation, Action, Adventure",Jared Stern,"Sam J. Levine,Dwayne Johnson,Kevin Hart,Kate McKinnon,John Krasinski",7.3,56,61179
My Father's Dragon,2022,PG,99 min,"Animation, Adventure, Comedy",Nora Twomey,"Judy Greer,Jacob Tremblay,Charlyne Yi,Ian McShane",6.6,74,1054
The Little Mermaid,2023,,,"Adventure, Family, Fantasy",Rob Marshall,"Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem",,,
The Super Mario Bros. Movie,2023,PG,,"Animation, Adventure, Comedy",Aaron Horvath,"Michael Jelenic,Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black",,,
Zootopia,2016,PG,108 min,"Animation, Adventure, Comedy",Byron Howard,"Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,Idris Elba,Jenny Slate",8,78,498020
