Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke",7.3,67,89766
Black Adam,2022,PG-13,125 min,"Action, Adventure, Fantasy",Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Pierce Brosnan,Noah Centineo",6.8,41,131655
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Slumberland,2022,PG,117 min,"Adventure, Comedy, Family",Francis Lawrence,"Jason Momoa,Marlow Barkley,Chris O'Dowd,Kyle Chandler",6.7,39,6677
Avatar: The Way of Water,2022,PG-13,190 min,"Action, Adventure, Fantasy",James Cameron,"Zoe Saldana,Kate Winslet,Sigourney Weaver,Sam Worthington",,,
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
Elemental,2023,,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Leah Lewis,Mamoudou Athie",,,
Everything Everywhere All at Once,2022,R,139 min,"Action, Adventure, Comedy",Dan Kwan,"Daniel Scheinert,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan",8.1,81,239632
Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",Taika Waititi,"Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson",6.3,57,311944
The School for Good and Evil,2022,PG-13,147 min,"Action, Comedy, Drama",Paul Feig,"Kit Young,Sophia Anne Caruso,Cate Blanchett,Liam Woon",5.8,30,22689
The Northman,2022,R,137 min,"Action, Adventure, Drama",Robert Eggers,"Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke",7.1,82,190603
Strange World,2022,PG,102 min,"Animation, Action, Adventure",Don Hall,"Qui Nguyen,Jake Gyllenhaal,Jaboukie Young-White,Gabrielle Union,Dennis Quaid",5.8,66,903
Guillermo del Toro's Pinocchio,II 2022,PG,117 min,"Animation, Drama, Family",Guillermo del Toro,"Mark Gustafson,Gregory Mann,Ewan McGregor,Ron Perlman,Finn Wolfhard",8,85,1038
One Piece Film: Red,2022,PG-13,115 min,"Animation, Action, Adventure",Gorô Taniguchi,"Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Kappei Yamaguchi",6.9,69,6929
Harry Potter and the Sorcerer's Stone,2001,PG,152 min,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith",7.6,65,776597
